common,ipa,common_reduced,mngu0,mocha,mspka,type,tongue,openness,voiced
#,#,#,#,#,#,silence,silence,silence,0.0
",l",",l",l,l!,,,syllabic_cons,alveolar,lateral_approximant,1.0
",m",",m",m,m!,,,syllabic_cons,bilabial,nasal,1.0
",n",",n",n,n!,,,syllabic_cons,alveolar,nasal,1.0
ai,aɪ,ai,aI,ai,,diphtong,wide,closing,1.0
aU,aʊ,aU,aU,ow,,diphtong,wide,closing,1.0
b,b,b,b,b,b,voiced_cons,bilabial,plosive,1.0
bb,bː,b,,,bb,geminated_cons,bilabial,plosive,1.0
d,d,d,d,d,d,voiced_cons,alveolar,plosive,1.0
dz,dz,dz,,,dz,voiced_cons,alveolar,affricate,1.0
dZ,dʒ,dZ,dZ,jh,dZ,voiced_cons,postalveolar,affricate,1.0
dd,dː,d,,,dd,geminated_cons,alveolar,plosive,1.0
ddz,dːz,dz,,,ddz,geminated_cons,alveolar,affricate,1.0
ddZ,dːʒ,dZ,,,ddZ,geminated_cons,postalveolar,affricate,1.0
e1,e,e1,,,E1,vowel,front,close-mid,1.0
f,f,f,f,f,f,unvoiced_cons,labiodental,fricative,0.0
ff,fː,f,,,ff,geminated_cons,labiodental,fricative,0.0
g,g,g,g,g,g,voiced_cons,velar,plosive,1.0
gg,gː,g,,,gg,geminated_cons,velar,plosive,1.0
h,h,h,h,h,,unvoiced_cons,glottal,fricative,0.0
ii,iː,ii,i,ii,i,vowel,near-central,near-close,1.0
j,j,j,j,y,j,voiced_cons,palatal,approximant,1.0
k,k,k,k,k,k,unvoiced_cons,velar,plosive,0.0
kk,kː,k,,,kk,geminated_cons,velar,plosive,0.0
l,l,l,l,l,l,voiced_cons,alveolar,lateral_approximant,1.0
ll,lː,l,,,ll,geminated_cons,alveolar,lateral_approximant,1.0
m,m,m,m,m,m,voiced_cons,bilabial,nasal,1.0
mm,mː,m,,,mm,geminated_cons,bilabial,nasal,1.0
n,n,n,n,n,n,voiced_cons,alveolar,nasal,1.0
nf,nf,nf,,,nf,unvoiced_cons,labial-velar,fricative,0.0
nn,nː,n,,,nn,geminated_cons,alveolar,nasal,1.0
o1,o,o1,,,O1,vowel,back,close-mid,1.0
p,p,p,p,p,p,unvoiced_cons,bilabial,plosive,0.0
pp,pː,p,,,pp,geminated_cons,bilabial,plosive,0.0
rr,r,rr,,,r,voiced_cons,postalveolar,trill,1.0
rrr,rː,rr,,,rr,geminated_cons,postalveolar,trill,1.0
s,s,s,s,s,s,unvoiced_cons,alveolar,fricative,0.0
ss,sː,s,,,ss,geminated_cons,alveolar,fricative,0.0
t,t,t,t,t,t,unvoiced_cons,alveolar,plosive,0.0
ts,ts,ts,,,ts,unvoiced_cons,alveolar,affricate,0.0
tS,tʃ,tS,tS,ch,tS,unvoiced_cons,postalveolar,affricate,0.0
tt,tː,t,,,tt,geminated_cons,alveolar,plosive,0.0
tts,tːs,ts,,,tts,geminated_cons,alveolar,affricate,0.0
ttS,tːʃ,tS,,,ttS,geminated_cons,postalveolar,affricate,0.0
u,uː,u,u,uu,u,vowel,back,close,1.0
v,v,v,v,v,v,voiced_cons,labiodental,fricative,1.0
vv,vː,v,,,vv,geminated_cons,labiodental,fricative,1.0
w,w,w,w,w,w,voiced_cons,labial-velar,fricative,1.0
iy,y,ii,,iy,,vowel,near-central,near-close,1.0
z,z,z,z,z,z,voiced_cons,alveolar,fricative,1.0
a,æ,a,a,a,,vowel,near-front,near-open,1.0
dh,ð,dh,D,dh,,voiced_cons,dental,fricative,1.0
ng,ŋ,ng,N,ng,ng,voiced_cons,retroflex,nasal,1.0
aa,ɑː,aa,A,aa,a,vowel,back,open,1.0
o,ɒ,o,Q,o,,vowel,back,open,1.0
oi,ɔɪ,oi,OI,oi,,diphtong,wide,closing,1.0
oo,ɔː,oo,O,oo,o,vowel,back,open-mid,1.0
o^,ɔ̃,@,o^,,,vowel,back,open-mid,1.0
@,ə,@,@,@,,vowel,central,mid,1.0
@U,əʊ,@U,@U,ou,,diphtong,narrow,closing,1.0
e,ɛ,e,E,e,e,vowel,front,open-mid,1.0
e@,ɛə,e@,E@,eir,,diphtong,narrow,centering,1.0
ei,ɛɪ,ei,eI,ei,,diphtong,narrow,closing,1.0
@@,ɜ:,@@,@@,@@,,vowel,central,open-mid,1.0
i,ɪ,i,I,i,,vowel,near-central,near-close,1.0
i@,ɪə,i@,I@,i@,,diphtong,narrow,centering,1.0
lw,ɫ,l,lw,,,voiced_cons,velar,lateral_approximant,1.0
JJ,ɲ,JJ,,,JJ,voiced_cons,palatal,nasal,1.0
r,ɹ,r,r,r,,voiced_cons,alveolar,approximant,1.0
S,ʃ,S,S,sh,SS,unvoiced_cons,postalveolar,fricative,0.0
U,ʊ,U,U,u,,vowel,near-back,near-close,1.0
U@,ʊə,U,U@,,,diphtong,narrow,centering,1.0
uh,ʌ,uh,V,uh,,vowel,back,open-mid,1.0
LL,ʎ,LL,,,LL,voiced_cons,palatal,lateral_approximant,1.0
Z,ʒ,Z,Z,zh,,voiced_cons,postalveolar,fricative,1.0
th,θ,th,T,th,,unvoiced_cons,dental,fricative,0.0
